sido,sigungu,spot_name,address,lat,lon,accident_count,death_count,injury_count,accident_type,road_type,occurred_at
서울,마포구,서울 마포구 서교동(홍대축제거리 부근),서울 마포구 서교동(홍대축제거리 부근),37.551124225133,126.922292474644,45,0,55,large_frequentzone,,2023
서울,마포구,서울 마포구 서교동(홍대입구역사거리 부근),서울 마포구 서교동(홍대입구역사거리 부근),37.555257141359,126.921855367009,44,0,59,large_frequentzone,,2023
서울,마포구,서울 마포구 노고산동(신촌로터리 부근),서울 마포구 노고산동(신촌로터리 부근),37.555135771194,126.936465001283,39,0,52,large_frequentzone,,2023
서울,양천구,서울 양천구 목동(청소년수련관교차로 부근),서울 양천구 목동(청소년수련관교차로 부근),37.531052243082,126.876205460155,38,0,53,large_frequentzone,,2023
서울,양천구,서울 양천구 신정동(목동역교차로 부근),서울 양천구 신정동(목동역교차로 부근),37.526789867369,126.864106462263,37,0,45,large_frequentzone,,2023
서울,양천구,서울 양천구 신월동(강월초교입구교차로 부근),서울 양천구 신월동(강월초교입구교차로 부근),37.516958947231,126.839320404436,28,0,34,large_frequentzone,,2023
서울,강서구,서울 강서구 화곡동(화곡사거리 부근),서울 강서구 화곡동(화곡사거리 부근),37.53060111521,126.846620426024,42,0,57,large_frequentzone,,2023
서울,강서구,서울 강서구 화곡동(화곡고가사거리 부근),서울 강서구 화곡동(화곡고가사거리 부근),37.528225722673,126.848718125332,39,2,54,large_frequentzone,,2023
서울,강서구,서울 강서구 화곡동(강서구청입구교차로 부근),서울 강서구 화곡동(강서구청입구교차로 부근),37.555900763572,126.852488254499,33,0,57,large_frequentzone,,2023
서울,구로구,서울 구로구 구로동(디지털단지입구교차로 부근),서울 구로구 구로동(디지털단지입구교차로 부근),37.483359086921,126.901462986852,52,0,62,large_frequentzone,,2023
서울,구로구,서울 구로구 구로동(LG전자구로어린이집 부근),서울 구로구 구로동(LG전자구로어린이집 부근),37.486165347068,126.877350177716,38,0,54,large_frequentzone,,2023
서울,구로구,서울 구로구 개봉동(개봉1동사거리 부근),서울 구로구 개봉동(개봉1동사거리 부근),37.501583511028,126.846741635959,37,1,54,large_frequentzone,,2023
서울,금천구,서울 금천구 가산동(디지털단지오거리 부근),서울 금천구 가산동(디지털단지오거리 부근),37.479270774184,126.88959412057,57,0,75,large_frequentzone,,2023
서울,금천구,서울 금천구 독산동(금천우체국교차로 부근),서울 금천구 독산동(금천우체국교차로 부근),37.470439092043,126.898025391081,37,0,45,large_frequentzone,,2023
서울,금천구,서울 금천구 독산동(꽃동산어린이집 부근),서울 금천구 독산동(꽃동산어린이집 부근),37.479199590835,126.903225194413,34,1,47,large_frequentzone,,2023
서울,영등포구,서울 영등포구 영등포동2가(영등포로터리 부근),서울 영등포구 영등포동2가(영등포로터리 부근),37.518778600783,126.91273859285,60,0,95,large_frequentzone,,2023
서울,영등포구,서울 영등포구 당산동4가(영등포구청앞교차로 부근),서울 영등포구 당산동4가(영등포구청앞교차로 부근),37.526836800783,126.897556697627,46,1,64,large_frequentzone,,2023
서울,영등포구,서울 영등포구 여의도동(여의교교차로 부근),서울 영등포구 여의도동(여의교교차로 부근),37.516917314123,126.928170108222,38,0,58,large_frequentzone,,2023
서울,동작구,서울 동작구 대방동(신대방삼거리역교차로 부근),서울 동작구 대방동(신대방삼거리역교차로 부근),37.498904865934,126.929566261783,50,0,64,large_frequentzone,,2023
서울,동작구,서울 동작구 사당동(이수역사거리 부근),서울 동작구 사당동(이수역사거리 부근),37.485118654132,126.981105675744,35,0,45,large_frequentzone,,2023
서울,동작구,서울 동작구 상도동(장승배기교차로 부근),서울 동작구 상도동(장승배기교차로 부근),37.504834599842,126.938958605412,33,0,43,large_frequentzone,,2023
서울,관악구,서울 관악구 봉천동(서울대입구역교차로 부근),서울 관악구 봉천동(서울대입구역교차로 부근),37.4810549114,126.953348767147,51,1,76,large_frequentzone,,2023
서울,관악구,서울 관악구 남현동(사당365약국 부근),서울 관악구 남현동(사당365약국 부근),37.476388058843,126.981477645382,51,0,74,large_frequentzone,,2023
서울,관악구,서울 관악구 신림동(신림역교차로 부근),서울 관악구 신림동(신림역교차로 부근),37.484272878611,126.929195540796,48,0,57,large_frequentzone,,2023
서울,서초구,서울 서초구 반포동(에이치약국 부근),서울 서초구 반포동(에이치약국 부근),37.504731100234,127.024018786074,84,0,105,large_frequentzone,,2023
서울,서초구,서울 서초구 서초동(법원검찰청교차로 부근),서울 서초구 서초동(법원검찰청교차로 부근),37.493335812808,127.013816353848,46,0,67,large_frequentzone,,2023
서울,서초구,서울 서초구 반포동(삼호가든사거리 부근),서울 서초구 반포동(삼호가든사거리 부근),37.504578123995,127.009758103617,44,0,63,large_frequentzone,,2023
서울,강남구,서울 강남구 역삼동(리춘시장 강남역점 부근),서울 강남구 역삼동(리춘시장 강남역점 부근),37.499939373433,127.026699345915,63,0,68,large_frequentzone,,2023
서울,강남구,서울 강남구 삼성동(삼성하나약국 부근),서울 강남구 삼성동(삼성하나약국 부근),37.507507530492,127.05815165974,60,0,79,large_frequentzone,,2023
서울,강남구,서울 강남구 삼성동(코엑스교차로 부근),서울 강남구 삼성동(코엑스교차로 부근),37.514303500021,127.060275110083,52,0,79,large_frequentzone,,2023
서울,송파구,서울 송파구 방이동(송파구청교차로 부근),서울 송파구 방이동(송파구청교차로 부근),37.515288308089,127.10789302218,64,0,81,large_frequentzone,,2023
서울,송파구,서울 송파구 풍납동(올림픽대교남단교차로 부근),서울 송파구 풍납동(올림픽대교남단교차로 부근),37.525825632465,127.117440501777,54,0,65,large_frequentzone,,2023
서울,송파구,서울 송파구 가락동(가락시장역교차로 부근),서울 송파구 가락동(가락시장역교차로 부근),37.493460770938,127.118770496351,53,0,82,large_frequentzone,,2023
서울,강동구,서울 강동구 천호동(천호역 5호선 부근),서울 강동구 천호동(천호역 5호선 부근),37.538946780236,127.122884601102,44,0,53,large_frequentzone,,2023
서울,강동구,서울 강동구 길동(길동사거리 부근),서울 강동구 길동(길동사거리 부근),37.534488966967,127.137804629823,31,0,38,large_frequentzone,,2023
서울,강동구,서울 강동구 길동(강동성심병원교차로 부근),서울 강동구 길동(강동성심병원교차로 부근),37.535577156907,127.132805448985,30,0,37,large_frequentzone,,2023
